1,0,779.51,242.63,326.94,451.67,1,-1,-1,-1
1,1,84.72,269.75,234.79,487.33,1,-1,-1,-1
1,2,1630.63,311.14,202.91,471.57,1,-1,-1,-1
1,3,989.00,424.45,139.36,473.83,1,-1,-1,-1
1,4,624.07,419.41,150.54,487.88,1,-1,-1,-1
2,0,779.25,242.94,327.76,451.43,1,-1,-1,-1
2,1,84.97,269.49,234.01,487.90,1,-1,-1,-1
2,2,1632.11,311.09,201.60,471.46,1,-1,-1,-1
2,3,988.86,424.44,139.36,473.82,1,-1,-1,-1
2,4,624.04,419.40,150.39,487.98,1,-1,-1,-1
3,0,779.28,242.94,327.85,451.38,1,-1,-1,-1
3,1,84.94,269.60,234.07,487.75,1,-1,-1,-1
3,2,1631.96,311.07,201.77,471.66,1,-1,-1,-1
3,3,989.00,424.51,138.97,473.85,1,-1,-1,-1
3,4,624.16,419.40,150.51,487.98,1,-1,-1,-1
4,0,779.15,243.01,328.05,451.30,1,-1,-1,-1
4,1,84.90,269.86,234.14,487.47,1,-1,-1,-1
4,2,1631.86,311.11,201.90,471.60,1,-1,-1,-1
4,3,988.46,424.49,139.63,473.88,1,-1,-1,-1
4,4,624.22,419.43,150.24,487.96,1,-1,-1,-1
5,0,779.41,243.07,327.70,451.25,1,-1,-1,-1
5,1,84.94,269.90,234.18,487.48,1,-1,-1,-1
5,2,1631.61,311.09,202.12,471.65,1,-1,-1,-1
5,3,988.40,424.40,139.70,473.95,1,-1,-1,-1
5,4,624.18,419.39,150.33,488.00,1,-1,-1,-1
6,0,781.96,243.10,326.83,451.88,1,-1,-1,-1
6,1,85.26,270.70,236.13,487.08,1,-1,-1,-1
6,2,1628.96,311.51,204.11,471.26,1,-1,-1,-1
6,3,988.06,424.23,139.56,474.30,1,-1,-1,-1
6,4,623.36,418.70,150.53,488.82,1,-1,-1,-1
7,0,782.89,243.31,325.66,451.68,1,-1,-1,-1
7,1,85.43,270.52,235.97,487.30,1,-1,-1,-1
7,2,1629.19,311.60,204.66,471.18,1,-1,-1,-1
7,3,987.75,423.92,139.59,474.62,1,-1,-1,-1
7,4,623.46,418.68,150.23,488.88,1,-1,-1,-1
8,0,783.94,243.19,324.59,451.77,1,-1,-1,-1
8,1,84.86,270.80,236.32,487.01,1,-1,-1,-1
8,2,1629.52,311.66,204.34,471.24,1,-1,-1,-1
8,3,987.62,423.66,140.13,474.95,1,-1,-1,-1
8,4,623.26,418.53,150.57,488.84,1,-1,-1,-1
9,0,783.03,243.32,325.41,451.63,1,-1,-1,-1
9,1,84.90,270.65,236.47,486.79,1,-1,-1,-1
9,2,1629.27,311.61,204.61,471.15,1,-1,-1,-1
9,3,987.73,423.64,139.48,474.99,1,-1,-1,-1
9,4,623.32,418.54,150.17,488.98,1,-1,-1,-1
10,0,783.85,242.99,324.13,451.86,1,-1,-1,-1
10,1,84.76,270.47,236.33,487.20,1,-1,-1,-1
10,2,1629.09,311.68,204.02,471.22,1,-1,-1,-1
10,3,987.27,423.74,139.18,474.91,1,-1,-1,-1
10,4,623.20,419.00,150.51,488.31,1,-1,-1,-1
11,0,782.97,243.54,324.99,451.36,1,-1,-1,-1
11,1,84.12,270.44,236.34,487.51,1,-1,-1,-1
11,2,1629.27,311.60,202.99,471.33,1,-1,-1,-1
11,3,987.25,423.82,139.31,474.96,1,-1,-1,-1
11,4,623.14,418.83,150.33,488.91,1,-1,-1,-1
12,0,783.75,243.55,324.91,451.31,1,-1,-1,-1
12,1,84.26,270.28,235.97,487.47,1,-1,-1,-1
